"organization","isin","bbid","ticker","hq_country","importance_of_water_quality_and_quantity_direct_indirect_use","importance_of_water_quality_and_quantity_importance_rating","importance_of_water_quality_and_quantity_explanation","evaluated_how_water_could_affect_growth_strategy","experienced_detrimental_impacts_related_to_water_this_year","procedures_to_assess_water_risk","geographic_scale_of_assessments","methods_used_to_assess_water_risks","do_you_require_your_key_suppliers_to_report_on_their_water_use_risks_and_management","organization_exposed_to_water_risk","does_water_present_opportunities","highest_level_of_direct_responsibility_for_water","is_water_integrated_into_business_strategy","does_your_organization_have_a_water_policy","subject_to_penalties_and_or_fines","target_and_or_goals"
"Hindustan Construction Company","INE549A01026","EQ0017450800001000","HCC IN","India","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not very important","The workers establishments are not permanent in nature  and hence the black water disposal systems are established for the stipulated period.",,,,,,,,,,,,,
"Hindustan Construction Company","INE549A01026","EQ0017450800001000","HCC IN","India","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","Hindustan Construction Company (HCC), being a construction company, requires  fresh  and good quality of water  for its major operations",,,,,,,,,,,,,
"Hindustan Construction Company","INE549A01026","EQ0017450800001000","HCC IN","India","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Neutral","The water used for  some of the operations  produce wastewater. HCC has started  adopting certain initiatives like installing  wastewater treatment plant  to treat  wastewater for reuse purpose.",,,,,,,,,,,,,
"HI-P INTERNATIONAL LIMITED",,,,"China",,,,"Yes, evaluated over the next 1 year","No","Water risks are not assessed",,,"No","No","Yes",,"No","No","No","No"
"HI-P INTERNATIONAL LIMITED",,,,"China","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","Don't use water production",,,,,,,,,"Senior Manager/Officer",,,,
"HI-P INTERNATIONAL LIMITED",,,,"China","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important",,,,,,,,,,,,,,
"HI-P INTERNATIONAL LIMITED",,,,"China","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important",,,,,,,,,,,,,,
"HI-P INTERNATIONAL LIMITED",,,,"China","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important",,,,,,,,,,,,,,
"Hitachi Chemical Company, Ltd.","JP3785000005","EQ0011369900001000","4217 JP","Japan",,,,"Not evaluated","No","Water risks are not assessed",,,"No","Don't know","Don't know",,"Yes","Yes, a publicly available company-wide water policy","No","Yes, targets only"
"Hitachi Chemical Company, Ltd.","JP3785000005","EQ0011369900001000","4217 JP","Japan","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","We use freshwater for cooling, boiler, cleaning or plating.",,,,,,,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Hitachi Chemical Company, Ltd.","JP3785000005","EQ0011369900001000","4217 JP","Japan","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Have not evaluated",,,,,,,,,,,,,,
"Hitachi Chemical Company, Ltd.","JP3785000005","EQ0011369900001000","4217 JP","Japan","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"Hitachi Chemical Company, Ltd.","JP3785000005","EQ0011369900001000","4217 JP","Japan","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"Hitachi Metals, Ltd.","JP3786200000","EQ0011370800001000","5486 JP","Japan",,,,"Not evaluated","No","Water risk assessments undertaken independently of other risk assessments across some direct operations",,,"No","Yes, direct operations only","No",,"No","Yes, a water policy for select facilities only","No","Yes, targets only"
"Hitachi Metals, Ltd.","JP3786200000","EQ0011370800001000","5486 JP","Japan","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","The main factory of our company is engaged in the steel industry, and consumes a huge amount of water for cooling melting furnaces and rolling equipment. The quality and quantity of water are major parameters for cooling water used in production facilities. Water purifiers are introduced as needed so as to secure the water quality required by the company.",,,,,"Internal company knowledge",,,,"Senior Manager/Officer",,,,
"Hitachi Metals, Ltd.","JP3786200000","EQ0011370800001000","5486 JP","Japan","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important",,,,,,,,,,,,,,
"Hitachi Metals, Ltd.","JP3786200000","EQ0011370800001000","5486 JP","Japan","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Not very important",,,,,,,,,,,,,,
"Hitachi Metals, Ltd.","JP3786200000","EQ0011370800001000","5486 JP","Japan","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not very important",,,,,,,,,,,,,,
"Hitachi, Ltd.","JP3788600009","EQ0010074100001000","6501 JP","Japan",,,,"Other","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"Yes","Yes, direct operations and supply chain","Yes",,"Yes","Yes, a water policy for select facilities only","No","Yes, targets and goals"
"Hitachi, Ltd.","JP3788600009","EQ0010074100001000","6501 JP","Japan","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","Hitachi uses water to cool air conditioners and other products, to clean and paint products, etc. in the manufacturing process, thus making it important to ensure an adequate water supply in its business activities. We do not necessarily need high-quality fresh water as the water is used largely for cooling purposes.",,,,"Business unit","Internal company knowledge",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Hitachi, Ltd.","JP3788600009","EQ0010074100001000","6501 JP","Japan","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not very important","Hitachi uses recycled water for industrial purposes, but does not often use brackish or produced water in its business activities.",,,,,"Regional government databases",,,,,,,,
"Hitachi, Ltd.","JP3788600009","EQ0010074100001000","6501 JP","Japan","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important","It is important that the suppliers of parts and components for Hitachi's products that employ semiconductors ensure good water quality.",,,,,"UNEP Vital Water Graphics",,,,,,,,
"Hitachi, Ltd.","JP3788600009","EQ0010074100001000","6501 JP","Japan","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not very important",,,,,,,,,,,,,,
"Hi-Tech Surfactants Ltd",,,,"India",,,,,,,,,,,"Yes",,"Yes",,,"Yes, targets and goals"
"Hi-Tech Surfactants Ltd",,,,"India","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","it is important to use water in our operations",,,,,,,,,"Senior Manager/Officer",,,,
"Hi-Tech Surfactants Ltd",,,,"India","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations",,,,,,,,,,,,,,,
"Hi-Tech Surfactants Ltd",,,,"India","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain",,,,,,,,,,,,,,,
"Hi-Tech Surfactants Ltd",,,,"India","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain",,,,,,,,,,,,,,,
"HK Electric Investments","HK0000179108","EQ0000000033130558","2638 HK","Hong Kong",,,,"Yes, evaluated over the next 1 year","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","Yes, direct operations and supply chain","Yes",,"Yes","Yes, a company-wide water policy","No","Yes, targets and goals"
"Hosken Consolidated Investments","ZAE000003257","EQ0013036000001000","HCI SJ","South Africa","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not important at all",,,,,,,,,,,,,,
"HK Electric Investments","HK0000179108","EQ0000000033130558","2638 HK","Hong Kong","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Freshwater is widely used in our power plant, such as Submerged Scraper Conveyor - a closed-loop ash handling system to our coal fired generating units to handle furnace bottom ash. We also need freshwater for Demineralization Plant to produce purified water to maintain boiler operation efficiency, reliability and service life. We also require freshwater to maintain the optimal performance of the Flue Gas Desulphurisation Plant.",,,,"Facility","WRI water stress definition",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"HK Electric Investments","HK0000179108","EQ0000000033130558","2638 HK","Hong Kong","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","HK Electric sets annual target for water recycling.  In 2013, we have recycled over 111,000 m3 of water which could be used to meet in different operational needs, such as preparation of limestone slurry for our FGD Plants.",,,,,,,,,,,,,
"HK Electric Investments","HK0000179108","EQ0000000033130558","2638 HK","Hong Kong","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"HK Electric Investments","HK0000179108","EQ0000000033130558","2638 HK","Hong Kong","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"HMA INC.",,,,"China",,,,,,,,,,,,,,,,
"Holmen","SE0000109290","EQ0011779800003000","HOLMB SS","Sweden",,,,"Yes, evaluated over the next 5 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","Yes, direct operations only","No",,"Yes","Yes, a publicly available company-wide water policy","No","Yes, targets and goals"
"HudBay Minerals Inc.","CA4436281022","EQ0017904800001000","HBM CN","Canada","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Hudbay primarily requires water for mineral processing and metal recovery, controlling dust, and meeting the needs of workers on site. 

",,,,"Business unit","FAO/AQUASTAT",,,,"Other: Environmental, Health, Safety and Sustainability Committee (EHSS)",,,,
"Holmen","SE0000109290","EQ0011779800003000","HOLMB SS","Sweden","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Water is a fundamental requirement for the paperboard production process and good quality fresh water is a vital component required for the process of producing clean pulp for the avoidance of taint and odour issues, (an essential  requirement for many of our products intended uses) and also for process stability and microbiology control.",,,,"Business unit","Internal company knowledge",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Holmen","SE0000109290","EQ0011779800003000","HOLMB SS","Sweden","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not important at all","This is not relevant for our operation.",,,,,,,,,,,,,
"Holmen","SE0000109290","EQ0011779800003000","HOLMB SS","Sweden","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","Important for the food industry and also for our chemical suppliers.",,,,,,,,,,,,,
"Holmen","SE0000109290","EQ0011779800003000","HOLMB SS","Sweden","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not important at all","This is not relevant for our operation.",,,,,,,,,,,,,
"Honeywell International Inc.","US4385161066","EQ0010004300001000","HON US","USA",,,,,,,,,,,,,,,,
"Honeywell International Inc.","US4385161066","EQ0010004300001000","HON US","USA",,,,,,,,,,,,,,,,
"Hosken Consolidated Investments","ZAE000003257","EQ0013036000001000","HCI SJ","South Africa",,,,"Other","No","Water risk assessments undertaken independently of other risk assessments across some direct operations",,,"No","Yes, direct operations and supply chain","No",,"No","Other:","No","No"
"Hosken Consolidated Investments","ZAE000003257","EQ0013036000001000","HCI SJ","South Africa","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations",,,,,"Business unit","Internal company knowledge",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Hosken Consolidated Investments","ZAE000003257","EQ0013036000001000","HCI SJ","South Africa","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not important at all",,,,,,,,,,,,,,
"Hosken Consolidated Investments","ZAE000003257","EQ0013036000001000","HCI SJ","South Africa","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important",,,,,,,,,,,,,,
"Hospira, Inc.","US4410601003","EQ0000000001065214","HSP US","USA",,,,"Not evaluated","No","Water risks are not assessed",,,"No","Yes, direct operations and supply chain","Don't know",,"No","Yes, a publicly available company-wide water policy","No","Yes, targets and goals"
"Hospira, Inc.","US4410601003","EQ0000000001065214","HSP US","USA","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Water is used in products, and to process products.",,,,,,,,,"Other Manager/Officer",,,,
"Hospira, Inc.","US4410601003","EQ0000000001065214","HSP US","USA","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Neutral",,,,,,,,,,,,,,
"Hospira, Inc.","US4410601003","EQ0000000001065214","HSP US","USA","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important",,,,,,,,,,,,,,
"Hospira, Inc.","US4410601003","EQ0000000001065214","HSP US","USA","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important",,,,,,,,,,,,,,
"Hotron Precision Electronic(SUZHOU)CO.,LTD",,,,"China",,,,"Not evaluated","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"No","No","No",,,,,"No"
"Hotron Precision Electronic(SUZHOU)CO.,LTD",,,,"China","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations",,,,,,,,,,,,,,
"Hotron Precision Electronic(SUZHOU)CO.,LTD",,,,"China","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important",,,,,,,,,,,,,,
"Hotron Precision Electronic(SUZHOU)CO.,LTD",,,,"China","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important",,,,,,,,,,,,,,
"Hotron Precision Electronic(SUZHOU)CO.,LTD",,,,"China","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important",,,,,,,,,,,,,,
"HP Pelzer Holding GmbH",,,,"Belgium",,,,,,"Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"No","No","No",,"Yes","Yes, a water policy for select facilities only","No","Yes, targets only"
"HP Pelzer Holding GmbH",,,,"Belgium","Direct use: sufficient amounts of good quality freshwater available for use across your own operations",,,,,,"Country","Internal company knowledge",,,,"Senior Manager/Officer",,,,
"HP Pelzer Holding GmbH",,,,"Belgium","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations",,,,,,,,,,,,,,,
"SUN FOODS AGROINDL C OESTE LTDA",,,,"Brazil",,,,"Not evaluated","No","Water risks are not assessed",,,"No","No","No",,"No","No","No","No"
"HudBay Minerals Inc.","CA4436281022","EQ0017904800001000","HBM CN","Canada","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not very important","Hudbay recycles a limited amount of water. Notwithstanding, the quality of water discharged meets the regulatory requirements of the jurisdictions we operate within.",,,,"Business unit",,,,,,,,,
"HudBay Minerals Inc.","CA4436281022","EQ0017904800001000","HBM CN","Canada","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Not very important","Hudbay Mineral’s value chain is made up of a diverse group of consumers and suppliers. We rely on the fact that these separate entities address their own water related requirements.",,,,,,,,,,,,,
"HudBay Minerals Inc.","CA4436281022","EQ0017904800001000","HBM CN","Canada","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not important at all","Hudbay does not require, nor monitor the level to which consumers or suppliers use recycled, brackish and/or produced water.",,,,,,,,,,,,,
"Hung Hing Packaging (Wuxi) Co Ltd",,,,"China",,,,"Yes, evaluated over the next 1 year","No","Water risk assessments undertaken independently of other risk assessments across some direct operations",,,"No","Yes, direct operations only","Yes",,"Yes","Yes, a company-wide water policy","No","Yes, targets and goals"
"Hung Hing Packaging (Wuxi) Co Ltd",,,,"China","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important",,,,,"Facility","Other:",,,,"Senior Manager/Officer",,,,
"Hung Hing Packaging (Wuxi) Co Ltd",,,,"China","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Have not evaluated",,,,,,,,,,,,,,
"Hung Hing Packaging (Wuxi) Co Ltd",,,,"China","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"Hung Hing Packaging (Wuxi) Co Ltd",,,,"China","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"Husky Energy Inc.","CA4480551031","EQ0141461600001000","HSE CN","Canada",,,,"Other","Yes","Water risk assessments undertaken independently of other risk assessments across some direct operations",,,"No","Yes, direct operations only","Yes",,"Yes","Yes, a company-wide water policy","Yes, not significant","Yes, goals only"
"Husky Energy Inc.","CA4480551031","EQ0141461600001000","HSE CN","Canada","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Good quality freshwater is an integral part of a significant proportion of Husky's onshore operations and facilities.
Potable water is vital for all of Husky's manned facilities which are associated with a significant proportion of operations.",,,,"Facility","Internal company knowledge",,,,"Senior Manager/Officer",,,,
"Husky Energy Inc.","CA4480551031","EQ0141461600001000","HSE CN","Canada","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Vital for operations","Water is used in a variety of processes employed by Husky including offshore and onshore production, refining, upgrading, etc. These form a significant proportion of operations.",,,,,"Regional government databases",,,,,,,,
"Husky Energy Inc.","CA4480551031","EQ0141461600001000","HSE CN","Canada","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Have not evaluated",,,,,,"IPIECA Global Water Tool for Oil & Gas",,,,,,,,
"Husky Energy Inc.","CA4480551031","EQ0141461600001000","HSE CN","Canada","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated",,,,,,"Other: Husky corporate risk assessment process",,,,,,,,
"Iberdrola SA","ES0144580Y14","EQ0011572400001000","IBE SM","Spain",,,,"Yes, evaluated over the next 10 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"Yes","Yes, direct operations and supply chain","Yes",,"Yes","Yes, a publicly available company-wide water policy with performance standards for direct operations including supplier, procurement and contracting best practice and acknowledges the human right to water and sanitation","No","Yes, targets and goals"
"Iberdrola SA","ES0144580Y14","EQ0011572400001000","IBE SM","Spain","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Neutral","Each facility introduced its water
information because they have on-line control of the main variables. Also, maximum limits on the capture
and consumption of fresh water are established and monitored also by the government administrations
of each region through the relevant governmental entities.The government also establishes and controls surface level limits and ecological flows
at the hydroelectric generation reservoirs.",,,,"Facility","FAO/AQUASTAT",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Iberdrola SA","ES0144580Y14","EQ0011572400001000","IBE SM","Spain","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","1.6 % of the collected water was consumed and/or retained in the various processes",,,,,"WRI water stress definition",,,,,,,,
"Iberdrola SA","ES0144580Y14","EQ0011572400001000","IBE SM","Spain","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Neutral","Most of the water withdrawn is surface water, mainly marine or estuary, and is
returned to the environment partly as evaporated water and the rest included in
discharges from the facilities.",,,,,,,,,,,,,
"Illovo Sugar Ltd","ZAE000083846","EQ0016267700001000","ILV SJ","South Africa",,,,,,,,"Other: Independent river basin studies",,,,,,,,
"Iberdrola SA","ES0144580Y14","EQ0011572400001000","IBE SM","Spain","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important","95.6 % of the water collected at thermal generation and cogeneration facilities was
returned to the receptor environment in a physicochemical condition that allows it to be utilised by other users without affecting the natural environment.",,,,,"Internal company knowledge",,,,,,,,
"Iberdrola SA","ES0144580Y14","EQ0011572400001000","IBE SM","Spain",,,,,,,,"WBCSD Global Water Tool",,,,,,,,
"Iberdrola SA","ES0144580Y14","EQ0011572400001000","IBE SM","Spain",,,,,,,,"Regional government databases",,,,,,,,
"IBERICA DE SUSPENSIONES S.L.",,,,"Spain","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Water neccesary to produce",,,,"Facility","Internal company knowledge",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"IBERICA DE SUSPENSIONES S.L.",,,,"Spain","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not important at all",,,,,,,,,,,,,,
"IBERICA DE SUSPENSIONES S.L.",,,,"Spain","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Not very important",,,,,,,,,,,,,,
"IBERICA DE SUSPENSIONES S.L.",,,,"Spain","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not important at all",,,,,,,,,,,,,,
"IHI Corporation","JP3134800006","EQ0011379600001000","7013 JP","Japan",,,,,,,,,,,,,,,,
"IHI Corporation","JP3134800006","EQ0011379600001000","7013 JP","Japan",,,,,,,,,,,,,,,,
"Illovo Sugar Ltd","ZAE000083846","EQ0016267700001000","ILV SJ","South Africa",,,,"Yes, evaluated over the next 5 years","Yes","Water is integrated into a comprehensive, company-wide risk assessment process incorporating direct operations only",,,"No","Yes, direct operations and supply chain","Yes",,"Yes","Other: incorporated within the environmental policy","No","Yes, goals only"
"Illovo Sugar Ltd","ZAE000083846","EQ0016267700001000","ILV SJ","South Africa","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","Our main water-use is for irrigation in our operations outside of South Africa. Operations in Zambia, Swaziland, Malawi and Mozambique are all irrigated. In Tanzania, the majority of our farms are irrigated with the balance being rain-fed. Insufficient water supply would significantly impact production.  Additionally, mills and downstream operations require water of a certain standard to support operations. Below specification water requires pre-treatment which impacts our operating costs.",,,,"Facility","Water Footprint Network",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Illovo Sugar Ltd","ZAE000083846","EQ0016267700001000","ILV SJ","South Africa","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Important","Our mills operate primarily with recycled water generated from the sugar milling process. Common practice is for water to be recycled extensively through the mill in an “open-loop” system, following which it is discharged to supplement irrigation water. Consequently a drop in supply would impact our factory and agricultural operations.",,,,,"Regional government databases",,,,,,,,
"Illovo Sugar Ltd","ZAE000083846","EQ0016267700001000","ILV SJ","South Africa","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","Over half the sugarcane processed by our operations is cultivated by independent farmers, or ‘outgrowers’, who vary in size from extensive farms to a few hectares per farm. A reduction in outgrower sugarcane supply could significantly impact Illovo’s production. Illovo insists on all outgrowers having water supply agreements with the relevant national authorities.",,,,,"Other: IPCC Climate Change Projections",,,,,,,,
"Illovo Sugar Ltd","ZAE000083846","EQ0016267700001000","ILV SJ","South Africa","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Not very important",,,,,,"Other: Catchment management associations",,,,,,,,
"Illovo Sugar Ltd","ZAE000083846","EQ0016267700001000","ILV SJ","South Africa",,,,,,,,"Other: Operation specific investigations – internal knowledge of water supply issues",,,,,,,,
"Inergy Automotive Systems",,,,"Japan",,,,,,,,,,,,,,,,"No"
"Impala Platinum Holdings","ZAE000083648","EQ0011177000001002","IMP SJ","South Africa",,,,"Yes, evaluated over the next 5 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"No","Yes, direct operations only","Yes",,"Yes","Yes, a company-wide water policy","No","Yes, targets only"
"Impala Platinum Holdings","ZAE000083648","EQ0011177000001002","IMP SJ","South Africa","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations",,,,,"Business unit","Internal company knowledge",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Impala Platinum Holdings","ZAE000083648","EQ0011177000001002","IMP SJ","South Africa","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Vital for operations",,,,,,,,,,,,,,
"Impala Platinum Holdings","ZAE000083648","EQ0011177000001002","IMP SJ","South Africa","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Important",,,,,,,,,,,,,,
"Impala Platinum Holdings","ZAE000083648","EQ0011177000001002","IMP SJ","South Africa","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Neutral",,,,,,,,,,,,,,
"Imperial Holdings","ZAE000067211","EQ0013037000001000","IPL SJ","South Africa",,,,"Not evaluated","No","Water risks are not assessed",,,"No","Don't know","Don't know",,,,"No","No"
"Imperial Holdings","ZAE000067211","EQ0013037000001000","IPL SJ","South Africa","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","Facilities have a human factors and operational factors that will be negatively impacted if there is a water shortage.",,,,,,,,,,,,,
"Imperial Holdings","ZAE000067211","EQ0013037000001000","IPL SJ","South Africa","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Not very important","Operations does not need any specific type of water quality availability",,,,,,,,,,,,,
"Imperial Holdings","ZAE000067211","EQ0013037000001000","IPL SJ","South Africa","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","As a logistics and supply chain company, the availability of water upstream is important for the continuation of our business - otherwise we will not have goods to transport.",,,,,,,,,,,,,
"Imperial Holdings","ZAE000067211","EQ0013037000001000","IPL SJ","South Africa","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated","No assessment of indirect use of water has been undertaken",,,,,,,,,,,,,
"Imperial Tobacco Group","GB0004544929","EQ0019613900001000","IMT LN","United Kingdom",,,,"Yes, evaluated over the next 10 years","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"Yes","Yes, direct operations and supply chain","Yes",,"Yes","Yes, a company-wide water policy","No","Yes, targets and goals"
"Imperial Tobacco Group","GB0004544929","EQ0019613900001000","IMT LN","United Kingdom","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Important","Manufacturing of tobacco products is not very water intensive, nevertheless sufficient quantity and good quality of freshwater is needed.",,,,"Facility","Life Cycle Assessment",,,,"Individual/Sub-set of the Board or other committee appointed by the Board",,,,
"Imperial Tobacco Group","GB0004544929","EQ0019613900001000","IMT LN","United Kingdom","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Neutral","Good quality freshwater is needed for our manufacturing operations, but, in case of lack of freshwater, it would be acceptable to treat recycled, brackish and/or process water to comply with quality requirements for our operational needs.",,,,"River basin","WBCSD Global Water Tool",,,,,,,,
"Imperial Tobacco Group","GB0004544929","EQ0019613900001000","IMT LN","United Kingdom","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Vital for operations","Tobacco growing needs water; tobacco is not drought tolerant; so continuous irrigation is vital. 
The water footprint for third party leaf growing represents 79% of our total footprint, based on a life cycle assessment we carried out last year.",,,,,"Water Footprint Network",,,,,,,,
"Imperial Tobacco Group","GB0004544929","EQ0019613900001000","IMT LN","United Kingdom","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Important","In case of freshwater restrictions, recycled or processed water could be stored and treated to achieve the quality needs for tobacco growing / irrigation.",,,,,"WRI Aqueduct",,,,,,,,
"Incitec Pivot","AU000000IPL1","EQ0000000000659779","IPL AU","Australia",,,,"Not evaluated","No","Water is integrated into a comprehensive, company-wide risk assessment process incorporating both direct operations and supply chain",,,"No","No","No",,"Yes","Other: Water management forms part of the environmental management system and is included in IPL's HSEC global standards","No","No"
"Incitec Pivot","AU000000IPL1","EQ0000000000659779","IPL AU","Australia","Direct use: sufficient amounts of good quality freshwater available for use across your own operations","Vital for operations","IPL's manufacturing operations require high quality water for various uses (e.g. cooling systems and boilers requiring low calcium and silica). IPL typically has access to regulated municipal water supply. Where this is not the case, long-term supply agreements are put in place.",,,,"Facility","WBCSD Global Water Tool",,,,"No individual or committee with overall responsibility for water",,,,
"Incitec Pivot","AU000000IPL1","EQ0000000000659779","IPL AU","Australia","Direct use: sufficient amounts of recycled, brackish and/or produced water available for use across your own operations","Neutral","IPL typically has access to regulated municipal water supply. Where this is not the case, long-term supply agreements are put in place.",,,,"Facility","Internal company knowledge",,,,,,,,
"Incitec Pivot","AU000000IPL1","EQ0000000000659779","IPL AU","Australia","Indirect use: sufficient amounts of good quality freshwater available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
"Incitec Pivot","AU000000IPL1","EQ0000000000659779","IPL AU","Australia","Indirect use: sufficient amounts of recycled, brackish and/or produced water available for use across your value chain","Have not evaluated",,,,,,,,,,,,,,
